"settings_user_attribution_delete";"supprimer une attribution"
"customer_new";"créer un client"
"statistics_view";"visualiser les statistiques"
"meeting_documents_list";"RDV:Fiche:lister les documents d'un rendez vous"
"meeting_sms";"envoyer des sms à un client pour un rendez vous"
"settings_user_function_view";"visualiser les fonctions"
"settings_user_function_new";"créer une fonction"
"settings_user_team_add_user";"ajouter un utilisateur à une équipe"
"settings_user_view";"visualiser les utilisateurs"
"settings_user_function_delete";"supprimer une fonction"
"settings_user_attribution_view";"visualiser une attribution"
"settings_user_attribution";"configurer les attributions"
"settings_products";"configurer les produits"
"settings_user_attribution_modify";"modifer une attribution"
"settings_user_attribution_new";"créer une attribution"
"contract_installation_schedule_aftersale_list";"lister le planning des installations des services après vente"
"contract_installation_schedule";"visualiser le planning des installations"
"settings_user_attribution_new";"créer une attribution"
"admin";"administrateur"
"settings";"configuration"
"settings_languages";"configuration des langues"
"settings_products_documents";"configuration des documents produits"
"settings_products_settings";"configuration des paramètres des produits"
"settings_user_list";"lister les utilisateurs"
"filter_meeting_telepro";"filtre téléprospecteur (rendez vous)"
"filter_meeting_commercial";"filtre commercial (rendez vous)"
"filter_meeting_telepro_manager";"filtre responsable téléprospecteurs (rendez vous)"
"filter_meeting_sales_manager";"filtre responsable commercial (rendez vous)"
"filter_contract_telepro";"filtre téléprospecteur (clients)"
"filter_contract_commercial";"filtre commercial (clients)"
"filter_contract_telepro_manager";"filtre responsable téléprospecteurs (clients)"
"filter_contract_sales_manager";"filtre responsable commercial (clients)"
"settings_goautodial";"configuration de goautodial"
"settings_contract_letters";"configurer les lettres clients"
"meeting_schedule";"Planning RDV"
"user_tasks";"tâches"
"users_chat";"chat"
"contract_modify_state";"modifier rapport clients"
"meeting_modify_state";"modifier rapport rendez vous"
"accounting";"comptabilité"
"users_tasks";"tasks"
"users_force_login";"force l'utilisateur"
"meeting_multiple_process";"traitement en nombre"
"meeting_modify_assistant";"modifier l'assistant"
"filter_meeting_assistant";"filtre assistant (rendez vous)"
"meeting_modify_created_date";"modifier la date de création (Rendez vous)"
"meetings_forms";"Formulaire dynamique"
"meeting_document_export_pdf";"Exporter un RDV (PDF)"
"meetings_documents";"Documents des RDVs"
"meeting_callback";"Rappel d'un RDV"
"contract_turnover_hidden";"Montants cachés"
"contract_turnover_with_tax_hidden";"Chiffre d'affaires avec taxe caché"
"contract_turnover_without_tax_hidden";"Chiffre d'affaires sans taxe caché"
"contract_turnover_tax_rate_hidden";"Taux de taxe caché"
"contract_turnover_tax_amount_hidden";"Montant taxe caché"
"users_filter_permissions_users";"permission filtre utilisateurs"
"users_filter_permissions_teams";"permission filtre équipes"
"meeting_modify_sales";"modifier les commerciaux"
"users_schedule_filter_permissions_users";"permission planning filtre utilisateurs"
"users_schedule_filter_permissions_teams";"permission planning filtre équipes"
"users_contract_filter_permissions_users";"permission planning filtre utilisateurs"
"users_contract_filter_permissions_teams";"permission planning filtre équipes"
"users_force_login";"Forçage de l'utilisateur"
"sip_telinta";"SIP Telinta"
"meeting_schedule_localization";"Planning RDV localisation"
