"superadmin";"Superadministrateur"
"admin";"Administrateur"
"telepro";"Télépro"
"commercial";"Commercial"
"sales_manager";"Responsable Vente"
"telepro_manager";"Responsable télépro"
"accounting";"Comptable"
"assistant";"Assistant"
"superadmins";"Superadministrateurs"
"admins";"Administrateurs"
"telepros";"Télépros"
"commercials";"Commerciaux"
"sales_managers";"Responsables Vente"
"telepro_managers";"Responsables télépro"
"accountings";"Comptables"
"assistants";"Assistants"
